,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WSeed,LSeed,WRegion,LRegion,TScore,TTO,TFGA,TFGA3,TPF
1393,2007,136,1130,84,1403,75,N,0.0,7,10,W,W,159,,,,
1396,2007,136,1231,70,1211,57,N,0.0,7,10,Z,Z,127,,,,
1413,2007,137,1305,77,1166,71,N,1.0,7,10,X,X,148,,,,
1419,2007,137,1424,67,1210,63,N,0.0,7,10,Y,Y,130,,,,
1470,2008,136,1452,75,1112,65,N,0.0,7,10,Z,Z,140,,,,
1474,2008,137,1139,81,1375,61,N,0.0,7,10,W,W,142,,,,
1479,2008,137,1274,78,1388,64,N,0.0,7,10,Y,Y,142,,,,
1531,2009,136,1400,76,1278,62,N,0.0,7,10,W,W,138,,,,
1587,2010,136,1140,99,1196,92,N,2.0,7,10,Z,Z,191,,,,
1664,2011,136,1396,66,1336,64,N,0.0,7,10,X,X,130,,,,
1665,2011,136,1417,78,1277,76,N,0.0,7,10,Y,Y,154,,,,
1683,2011,137,1449,68,1208,65,N,0.0,7,10,W,W,133,,,,
1721,2012,136,1211,77,1452,54,N,0.0,7,10,W,W,131,,,,
1737,2012,137,1196,71,1438,45,N,0.0,7,10,Z,Z,116,,,,
1802,2013,137,1166,67,1153,63,N,0.0,7,10,Y,Y,130,,,,
1806,2013,137,1228,57,1160,49,N,0.0,7,10,W,W,106,,,,
1816,2013,137,1361,70,1328,55,N,0.0,7,10,X,X,125,,,,
1853,2014,136,1163,89,1386,81,N,1.0,7,10,W,W,170,,,,
1861,2014,136,1332,87,1140,68,N,0.0,7,10,Z,Z,155,,,,
1866,2014,136,1400,87,1113,85,N,0.0,7,10,Y,Y,172,,,,
1939,2015,137,1234,83,1172,52,N,0.0,7,10,X,X,135,,,,
1943,2015,137,1277,70,1208,63,N,0.0,7,10,W,W,133,,,,
1950,2015,137,1455,81,1231,76,N,0.0,7,10,Y,Y,157,,,,
2004,2016,137,1234,72,1396,70,N,1.0,7,10,Y,Y,142,,,,
2017,2016,137,1458,47,1338,43,N,0.0,7,10,W,W,90,,,,
2064,2017,136,1388,85,1433,77,N,0.0,7,10,X,X,162,,,,
2077,2017,137,1276,92,1329,91,N,0.0,7,10,Y,Y,183,,,,
2082,2017,137,1376,93,1266,73,N,0.0,7,10,W,W,166,,,,
2123,2018,136,1305,87,1400,83,,1.0,7,10,Y,Y,170,,,,
2131,2018,136,1401,73,1344,69,,,7,10,W,W,142,,,,
2147,2018,137,1348,83,1328,78,,1.0,7,10,X,X,161,,,,
